creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth
76561198107464759,10,167653,16765.30,6626.50,0.962520,1034.90,11
76561198122178684,2,166918,83459.00,83459.00,0.965900,0.00,7
76561199175306299,49,166520,3398.37,96.00,0.963878,88.35,15
76561198093758872,10,166382,16638.20,2922.50,0.948756,379.20,6
76561198122017413,1,166159,166159.00,166159.00,0.978200,926.00,2
76561197978513288,3,165125,55041.67,12552.00,0.958700,250.00,7
76561198065212464,1,164148,164148.00,164148.00,0.949700,2728.00,5
76561198346497550,4,163771,40942.75,48484.00,0.967600,809.50,4
76561198024903559,2,163672,81836.00,81836.00,0.939050,44.00,3
76561199088047561,103,161646,1569.38,504.00,0.746574,189.83,5
76561198289047945,5,161614,32322.80,17330.00,0.938040,354.60,5
76561198085604497,2,159435,79717.50,79717.50,0.969500,934.50,7
76561198381247813,34,158842,4671.82,592.00,0.943633,79.06,16
76561198084611080,2,158757,79378.50,79378.50,0.973100,1007.50,3
76561198363617314,17,158645,9332.06,266.00,0.893669,347.18,1
76561198143826175,3,158375,52791.67,11709.00,0.900567,53.33,6
76561198137607473,12,157687,13140.58,1044.00,0.903917,24.08,15
76561198043883587,3,155470,51823.33,41915.00,0.960567,1239.00,4
76561198045478851,5,155385,31077.00,18053.00,0.932460,106.20,6
76561198261127677,2,154881,77440.50,77440.50,0.953750,8.50,2
76561198248791916,1,153932,153932.00,153932.00,0.956300,40.00,2
76561198218203935,1,149305,149305.00,149305.00,0.985900,1067.00,2
76561198255209661,1,148911,148911.00,148911.00,0.979700,876.00,3
76561199197206926,4,148782,37195.50,36319.00,0.949600,157.25,3
76561198081189967,1,147398,147398.00,147398.00,0.965000,250.00,2
76561198058878990,1,146995,146995.00,146995.00,0.938900,0.00,3
76561198067352815,2,146365,73182.50,73182.50,0.961400,1052.00,4
76561199024158991,3,146226,48742.00,29999.00,0.938067,397.33,6
76561198126354651,2,146079,73039.50,73039.50,0.979350,0.00,6
76561199002678095,12,144986,12082.17,1799.50,0.910182,174.58,16
76561199084131356,5,143960,28792.00,18152.00,0.970980,176.20,2
76561198129541353,21,141988,6761.33,3863.00,0.959929,324.57,4
76561198388831434,3,141835,47278.33,25434.00,0.967200,291.33,3
76561198038226652,6,141786,23631.00,14687.00,0.978783,944.83,10
76561198079141001,27,141705,5248.33,1555.00,0.940659,330.37,14
76561198054787185,2,141617,70808.50,70808.50,0.974100,1888.50,5
76561198271300451,3,141041,47013.67,2088.00,0.965133,907.00,5
76561198102182541,1,140789,140789.00,140789.00,0.969600,0.00,1
76561198073178651,5,139989,27997.80,30070.00,0.954680,170.80,9
76561198002142971,2,139775,69887.50,69887.50,0.925450,1485.50,4
76561198075330546,3,139254,46418.00,167.00,0.986433,104.67,6
76561198285746870,3,138152,46050.67,60060.00,0.963933,1357.00,4
76561198109177312,10,138069,13806.90,3480.00,0.945040,656.50,13
76561198116144270,15,137825,9188.33,7376.00,0.950047,805.53,7
76561199211743561,9,137785,15309.44,309.00,0.978956,241.22,2
76561198875283018,2,136899,68449.50,68449.50,0.972450,47.50,6
76561198043875492,4,135617,33904.25,11385.00,0.968200,104.25,1
76561198007047980,4,135477,33869.25,21943.50,0.963725,114.25,2
