token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
ideas,1,12,0.3,2.43,-2.14,0.1215,rank_300_500
shipwrecked,1,12,0.3,2.43,-2.14,0.1215,rank_300_500
support,23,23,6.79,4.66,2.13,1.4579,top_100
days,12,28,3.55,5.67,-2.13,0.6248,rank_300_500
ya,12,7,3.55,1.42,2.13,2.4993,top_100
ds,10,25,2.95,5.07,-2.11,0.5832,rank_300_500
se,18,16,5.32,3.24,2.08,1.6401,top_100
button,20,19,5.91,3.85,2.06,1.5346,top_100
line,20,19,5.91,3.85,2.06,1.5346,top_100
year,4,16,1.18,3.24,-2.06,0.3645,rank_300_500
around,15,32,4.43,6.48,-2.05,0.6834,rank_300_500
ajuda,9,3,2.66,0.61,2.05,4.3737,top_100
demais,9,3,2.66,0.61,2.05,4.3737,top_100
apply,2,13,0.59,2.63,-2.04,0.2243,rank_300_500
infinite,2,13,0.59,2.63,-2.04,0.2243,rank_300_500
killing,2,13,0.59,2.63,-2.04,0.2243,rank_300_500
tiny,2,13,0.59,2.63,-2.04,0.2243,rank_300_500
solution,11,6,3.25,1.22,2.03,2.6728,top_100
afro1967,0,10,0.0,2.03,-2.03,0.0,rank_300_500
busy,0,10,0.0,2.03,-2.03,0.0,rank_300_500
concept,0,10,0.0,2.03,-2.03,0.0,rank_300_500
dropped,0,10,0.0,2.03,-2.03,0.0,rank_300_500
dying,0,10,0.0,2.03,-2.03,0.0,rank_300_500
gift,0,10,0.0,2.03,-2.03,0.0,rank_300_500
gollum,0,10,0.0,2.03,-2.03,0.0,rank_300_500
ia,0,10,0.0,2.03,-2.03,0.0,rank_300_500
large,0,10,0.0,2.03,-2.03,0.0,rank_300_500
late,0,10,0.0,2.03,-2.03,0.0,rank_300_500
moose,0,10,0.0,2.03,-2.03,0.0,rank_300_500
noodles,0,10,0.0,2.03,-2.03,0.0,rank_300_500
slice,0,10,0.0,2.03,-2.03,0.0,rank_300_500
tent,0,10,0.0,2.03,-2.03,0.0,rank_300_500
unique,0,10,0.0,2.03,-2.03,0.0,rank_300_500
action,15,12,4.43,2.43,2.0,1.8224,top_100
response,15,12,4.43,2.43,2.0,1.8224,top_100
down,20,39,5.91,7.9,-1.99,0.7476,rank_300_500
updated,42,71,12.41,14.39,-1.98,0.8624,rank_300_500
believe,17,15,5.02,3.04,1.98,1.6523,top_100
message,17,15,5.02,3.04,1.98,1.6523,top_100
away,7,20,2.07,4.05,-1.98,0.5103,rank_300_500
easy,7,20,2.07,4.05,-1.98,0.5103,rank_300_500
note,7,20,2.07,4.05,-1.98,0.5103,rank_300_500
both,19,18,5.61,3.65,1.97,1.5389,top_100
send,5,17,1.48,3.44,-1.97,0.4288,rank_300_500
wow,5,17,1.48,3.44,-1.97,0.4288,rank_300_500
base,16,33,4.73,6.69,-1.96,0.7069,rank_300_500
al,8,2,2.36,0.41,1.96,5.8316,top_100
evil,8,2,2.36,0.41,1.96,5.8316,top_100
fertilizer,8,2,2.36,0.41,1.96,5.8316,top_100
