creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth,author_rank,productivity_bucket,share_of_total_subscriptions_pct,cumulative_subscriptions,cumulative_share_pct,concentration_band
76561197967838462,19,231245,12170.79,925.0,0.951463,343.37,12,172,10+,0.0846,199857830,73.1439,others
76561198283143738,1,231171,231171.0,231171.0,0.935,683.0,11,173,1,0.0846,200089001,73.2285,others
76561199177319203,11,230625,20965.91,7596.0,0.970573,100.64,12,174,10+,0.0844,200319626,73.3129,others
76561198202963895,6,229992,38332.0,37836.0,0.9643,598.5,3,175,4-9,0.0842,200549618,73.3971,others
76561198323462168,7,228381,32625.86,29968.0,0.960429,1330.14,5,176,4-9,0.0836,200777999,73.4807,others
76561198312727020,1,227385,227385.0,227385.0,0.9645,2954.0,3,177,1,0.0832,201005384,73.5639,others
76561198098847491,7,226096,32299.43,7292.0,0.892914,142.0,3,178,4-9,0.0827,201231480,73.6466,others
76561198282077167,5,226004,45200.8,23271.0,0.96986,907.6,6,179,4-9,0.0827,201457484,73.7294,others
76561198203907187,42,224755,5351.31,242.5,0.901883,252.33,14,180,10+,0.0823,201682239,73.8116,others
76561198855979160,7,223050,31864.29,6338.0,0.758286,0.0,2,181,4-9,0.0816,201905289,73.8932,others
76561199042155506,6,222647,37107.83,12488.5,0.97435,133.67,9,182,4-9,0.0815,202127936,73.9747,others
76561198112558369,1,222128,222128.0,222128.0,0.9753,320.0,5,183,1,0.0813,202350064,74.056,others
76561198280705318,3,219651,73217.0,67387.0,0.953233,1.33,2,184,2-3,0.0804,202569715,74.1364,others
76561197969822695,1,216560,216560.0,216560.0,0.9,0.0,4,185,1,0.0793,202786275,74.2157,others
76561198025554288,29,216280,7457.93,3724.0,0.947059,334.76,9,186,10+,0.0792,203002555,74.2948,others
76561198326749481,3,216152,72050.67,4573.0,0.978767,612.33,3,187,2-3,0.0791,203218707,74.3739,others
76561198326550565,32,214536,6704.25,1851.0,0.910469,219.5,11,188,10+,0.0785,203433243,74.4524,others
76561198033888899,4,214286,53571.5,54453.0,0.962925,148.25,2,189,4-9,0.0784,203647529,74.5309,others
76561198135323091,32,213458,6670.56,877.5,0.862184,215.69,5,190,10+,0.0781,203860987,74.609,others
76561198075596893,1,211544,211544.0,211544.0,0.9558,229.0,2,191,1,0.0774,204072531,74.6864,others
76561198048911576,7,210805,30115.0,13997.0,0.954243,0.86,4,192,4-9,0.0772,204283336,74.7636,others
76561198837718759,11,209168,19015.27,1260.0,0.756018,446.73,6,193,10+,0.0766,204492504,74.8401,others
76561198117731813,3,209043,69681.0,46738.0,0.934733,737.0,9,194,2-3,0.0765,204701547,74.9166,others
76561198118680942,2,208695,104347.5,104347.5,0.9785,3162.0,5,195,2-3,0.0764,204910242,74.993,others
76561198202183228,8,206180,25772.5,807.5,0.882938,123.0,18,196,4-9,0.0755,205116422,75.0685,others
76561198305429748,12,205787,17148.92,6108.5,0.936167,102.92,9,197,10+,0.0753,205322209,75.1438,others
76561197990373388,2,203762,101881.0,101881.0,0.88435,1493.5,4,198,2-3,0.0746,205525971,75.2183,others
76561198082172665,6,203290,33881.67,22096.0,0.958833,471.33,2,199,4-9,0.0744,205729261,75.2927,others
76561198256352537,9,202527,22503.0,2216.0,0.973811,693.0,10,200,4-9,0.0741,205931788,75.3669,others
76561198795723653,8,201743,25217.88,8648.0,0.98115,206.88,8,201,4-9,0.0738,206133531,75.4407,others
76561198157605960,2,201250,100625.0,100625.0,0.9733,126.5,4,202,2-3,0.0737,206334781,75.5143,others
76561198159698411,11,198960,18087.27,1536.0,0.933045,269.36,10,203,10+,0.0728,206533741,75.5872,others
76561198950833784,2,198420,99210.0,99210.0,0.9545,260.5,8,204,2-3,0.0726,206732161,75.6598,others
76561198016497607,1,196992,196992.0,196992.0,0.9745,281.0,8,205,1,0.0721,206929153,75.7319,others
76561198965012715,1,196308,196308.0,196308.0,0.8851,0.0,2,206,1,0.0718,207125461,75.8037,others
76561198256551086,2,194472,97236.0,97236.0,0.96725,0.0,8,207,2-3,0.0712,207319933,75.8749,others
76561198016762743,18,193885,10771.39,1707.5,0.877,47.11,2,208,10+,0.071,207513818,75.9459,others
76561199058779040,2,190455,95227.5,95227.5,0.48905,0.0,5,209,2-3,0.0697,207704273,76.0156,others
76561198161904189,4,189948,47487.0,899.5,0.9821,256.25,8,210,4-9,0.0695,207894221,76.0851,others
76561198045247729,16,189944,11871.5,198.0,0.554407,288.19,11,211,10+,0.0695,208084165,76.1546,others
76561198325674108,5,189527,37905.4,32868.0,0.97592,1397.6,9,212,4-9,0.0694,208273692,76.224,others
76561198367117485,7,189151,27021.57,16107.0,0.961629,128.0,14,213,4-9,0.0692,208462843,76.2932,others
76561198096527874,4,189125,47281.25,20810.0,0.96845,169.25,8,214,4-9,0.0692,208651968,76.3624,others
76561198312960963,3,187104,62368.0,52982.0,0.9914,7.33,3,215,2-3,0.0685,208839072,76.4309,others
76561198103824527,6,186342,31057.0,4204.0,0.987067,213.17,2,216,4-9,0.0682,209025414,76.4991,others
76561198045583749,5,184347,36869.4,6442.0,0.94216,193.0,6,217,4-9,0.0675,209209761,76.5665,others
76561198081341219,1,184093,184093.0,184093.0,0.963,77.0,3,218,1,0.0674,209393854,76.6339,others
76561198250717802,5,182523,36504.6,2924.0,0.96876,116.0,1,219,4-9,0.0668,209576377,76.7007,others
76561198118689194,7,177228,25318.29,21817.0,0.9478,82.29,12,220,4-9,0.0649,209753605,76.7656,others
76561199071772317,20,177192,8859.6,619.0,0.981265,174.0,8,221,10+,0.0648,209930797,76.8304,others
76561197988620852,12,176641,14720.08,6049.5,0.925975,345.0,10,222,10+,0.0646,210107438,76.8951,others
76561198356877000,3,172763,57587.67,48199.0,0.9784,0.0,4,223,2-3,0.0632,210280201,76.9583,others
76561198972334339,1,171537,171537.0,171537.0,0.9791,410.0,5,224,1,0.0628,210451738,77.0211,others
76561198103032116,1,171416,171416.0,171416.0,0.9644,625.0,3,225,1,0.0627,210623154,77.0838,others
76561198316473871,1,169761,169761.0,169761.0,0.974,954.0,1,226,1,0.0621,210792915,77.1459,others
76561198093961246,9,169610,18845.56,3817.0,0.902844,546.22,9,227,4-9,0.0621,210962525,77.208,others
76561198087989423,2,168705,84352.5,84352.5,0.96035,7.0,3,228,2-3,0.0617,211131230,77.2698,others
76561198813016643,10,167990,16799.0,484.5,0.762744,141.4,11,229,10+,0.0615,211299220,77.3312,others
76561198107464759,10,167653,16765.3,6626.5,0.96252,1034.9,11,230,10+,0.0614,211466873,77.3926,others
76561198122178684,2,166918,83459.0,83459.0,0.9659,0.0,7,231,2-3,0.0611,211633791,77.4537,others
76561199175306299,49,166520,3398.37,96.0,0.963878,88.35,15,232,10+,0.0609,211800311,77.5146,others
76561198093758872,10,166382,16638.2,2922.5,0.948756,379.2,6,233,10+,0.0609,211966693,77.5755,others
76561198122017413,1,166159,166159.0,166159.0,0.9782,926.0,2,234,1,0.0608,212132852,77.6363,others
76561197978513288,3,165125,55041.67,12552.0,0.9587,250.0,7,235,2-3,0.0604,212297977,77.6968,others
76561198065212464,1,164148,164148.0,164148.0,0.9497,2728.0,5,236,1,0.0601,212462125,77.7568,others
76561198346497550,4,163771,40942.75,48484.0,0.9676,809.5,4,237,4-9,0.0599,212625896,77.8168,others
76561198024903559,2,163672,81836.0,81836.0,0.93905,44.0,3,238,2-3,0.0599,212789568,77.8767,others
